날짜,평균기온,최고기온,최저기온,강수량(mm),신적설(cm),평균풍속(m/s),평균습도(%),운량(1/10),일조시간(Hr),날씨
2025년03월07일 (금),5.3,11.1,0.0,-,-,1.9,49,5.5,8.6,구름많음
2025년03월08일 (토),5.8,11.2,2.8,-,-,2.2,55,3.5,9.0,구름조금
2025년03월09일 (일),6.9,13.5,1.2,-,-,1.7,67,0.1,10.4,맑음
2025년03월10일 (월),8.0,14.9,2.4,-,-,2.2,60,0.8,10.5,맑음
2025년03월11일 (화),9.4,16.6,2.9,-,-,1.7,58,2.6,10.2,구름조금
2025년03월12일 (수),8.5,11.8,6.7,0.0,-,2.2,72,8.4,0.1,구름많음
2025년03월13일 (목),8.9,15.0,3.2,-,-,2.4,55,5.2,10.5,구름조금
2025년03월14일 (금),12.4,20.1,5.0,-,-,1.9,31,3.0,9.7,구름조금
2025년03월15일 (토),12.6,17.2,10.0,0.0,-,2.8,39,7.9,6.3,구름많음
2025년03월16일 (일),4.9,10.1,1.3,0.8,-,3.6,56,6.6,3.9,구름많음/비
2025년03월17일 (월),2.5,6.8,-1.3,0.4,0.3,2.8,46,5.1,9.5,구름조금/눈
2025년03월18일 (화),2.1,5.6,0.3,9.9,8.7,2.9,71,7.9,3.8,구름많음/눈
2025년03월19일 (수),2.4,7.3,-1.9,-,-,2.3,50,1.0,11.3,맑음
2025년03월20일 (목),8.2,15.0,2.2,-,-,2.7,63,3.3,7.3,구름조금/안개
2025년03월21일 (금),11.6,18.7,7.9,-,-,2.9,61,2.4,9.5,맑음/안개
2025년03월22일 (토),12.8,19.9,6.1,-,-,2.7,54,0.0,11.1,맑음/안개
2025년03월23일 (일),15.2,24.0,7.1,-,-,1.9,49,4.0,8.9,구름조금/안개
2025년03월24일 (월),15.5,21.3,11.7,0.0,-,3.0,56,6.1,7.6,구름많음/비/안개
2025년03월25일 (화),12.7,21.4,8.4,-,-,3.2,64,5.1,3.9,구름조금
2025년03월26일 (수),15.5,23.9,6.0,-,-,2.2,46,3.4,10.0,구름조금/황사
2025년03월27일 (목),13.7,18.6,7.1,0.3,-,3.2,65,8.9,1.9,흐림/비/황사
2025년03월28일 (금),6.5,11.8,3.1,-,-,3.7,42,2.9,7.8,구름조금
2025년03월29일 (토),3.3,6.7,0.6,0.0,-,3.6,41,2.9,7.3,구름조금/눈/진눈개비
2025년03월30일 (일),3.3,7.6,-1.8,0.0,-,2.8,51,2.9,7.1,구름조금/눈
2025년03월31일 (월),7.7,14.1,1.2,-,-,2.2,51,1.6,10.8,맑음/안개
2025년04월01일 (화),10.1,17.0,3.9,-,-,1.8,53,0.6,10.2,맑음
2025년04월02일 (수),8.9,14.4,5.2,0.0,-,2.5,55,6.2,4.6,구름많음
2025년04월03일 (목),9.8,16.9,3.6,-,-,2.4,59,0.1,11.6,맑음
2025년04월04일 (금),10.6,16.4,6.0,-,-,2.1,55,2.1,10.4,맑음
2025년04월05일 (토),8.0,9.5,7.5,22.8,-,1.9,86,10.0,0.0,흐림/비
2025년04월06일 (일),10.3,15.7,6.9,0.0,-,2.7,67,3.1,9.6,구름조금
2025년04월07일 (월),13.4,20.1,5.5,-,-,2.7,55,0.9,11.3,맑음
2025년04월08일 (화),13.8,18.9,10.7,-,-,3.1,55,3.5,9.2,구름조금
2025년04월09일 (수),12.7,18.0,8.4,0.8,-,2.0,52,9.0,2.2,흐림/비
2025년04월10일 (목),13.2,19.1,8.8,0.0,-,2.0,61,2.0,9.7,맑음
2025년04월11일 (금),16.2,24.2,8.1,-,-,2.1,52,1.9,11.8,맑음
2025년04월12일 (토),12.9,22.5,1.4,15.4,0.2,3.2,67,9.5,1.5,흐림/눈
2025년04월13일 (일),5.5,8.2,1.1,4.2,0.4,4.4,71,7.0,3.7,구름많음/눈
2025년04월14일 (월),4.4,6.0,2.6,7.4,-,2.5,87,7.2,0.3,구름많음/비
2025년04월15일 (화),8.2,14.0,2.3,-,-,2.8,70,2.1,12.1,맑음
2025년04월16일 (수),14.6,21.9,6.4,-,-,2.4,58,5.5,9.7,구름많음
2025년04월17일 (목),19.7,24.7,15.8,-,-,2.7,64,6.1,2.9,구름많음
2025년04월18일 (금),18.6,23.7,15.4,0.0,-,2.5,68,6.0,5.0,구름많음
2025년04월19일 (토),15.3,20.0,12.2,9.2,-,2.9,89,8.6,0.0,흐림/비
2025년04월20일 (일),16.7,24.1,9.5,-,-,1.7,70,2.1,11.6,맑음
2025년04월21일 (월),20.7,27.1,14.2,-,-,2.2,65,5.0,7.7,구름조금
2025년04월22일 (화),17.8,20.4,14.2,34.8,0.0,1.5,88,7.4,0.0,구름많음/비
2025년04월23일 (수),16.8,22.9,10.9,-,0.0,2.5,62,3.5,12.5,구름조금
2025년04월24일 (목),14.7,19.6,10.7,-,0.0,3.1,52,0.9,12.2,맑음
2025년04월25일 (금),12.5,17.8,7.7,-,0.0,3.0,38,0.0,12.5,맑음
2025년04월26일 (토),13.8,20.0,7.2,-,0.0,2.8,53,0.0,12.0,맑음
2025년04월27일 (일),14.9,19.1,10.7,-,0.0,2.8,46,6.5,6.3,구름많음
2025년04월28일 (월),15.1,20.2,10.3,-,0.0,2.9,46,1.0,12.5,맑음
2025년04월29일 (화),14.8,21.0,8.2,-,0.0,2.2,34,0.0,12.8,맑음
2025년04월30일 (수),18.4,25.8,10.0,-,0.0,2.7,36,2.4,12.0,맑음
2025년05월01일 (목),14.7,17.6,11.3,21.1,0.0,2.0,70,7.2,0.0,구름많음/비/안개/이슬비/천둥번개
2025년05월02일 (금),13.4,18.5,8.2,0.0,0.0,2.9,59,5.6,9.1,구름많음/비
2025년05월03일 (토),11.2,14.0,9.5,7.3,0.0,2.3,81,6.9,1.2,구름많음/비
2025년05월04일 (일),13.7,19.9,8.2,-,0.0,2.9,61,1.1,12.8,맑음
2025년05월05일 (월),12.1,15.0,9.3,-,0.0,2.5,65,8.0,0.3,구름많음
2025년05월06일 (화),14.4,19.5,8.5,-,0.0,2.2,58,3.8,8.5,구름조금
2025년05월07일 (수),14.9,21.1,9.9,-,0.0,2.2,62,2.0,12.3,맑음
2025년05월08일 (목),17.4,24.9,9.7,-,0.0,1.9,54,5.2,11.2,구름조금/황사
2025년05월09일 (금),15.1,17.4,14.1,17.6,0.0,3.0,82,10.0,0.0,흐림/비
2025년05월10일 (토),12.3,15.3,11.6,14.1,0.0,3.5,96,9.8,0.0,흐림/비/안개/이슬비
2025년05월11일 (일),14.7,20.2,11.4,0.0,0.0,1.9,77,5.5,4.7,구름많음/안개/이슬비
2025년05월12일 (월),17.0,23.6,9.8,-,0.0,2.2,63,0.0,12.7,맑음/안개
2025년05월13일 (화),19.9,25.8,13.3,-,0.0,2.8,47,4.8,9.0,구름조금
2025년05월14일 (수),21.0,26.7,14.1,0.0,0.0,2.4,53,3.5,11.7,구름조금/비
2025년05월15일 (목),19.5,22.2,16.8,1.1,0.0,2.2,81,8.9,0.8,흐림/비
2025년05월16일 (금),19.4,22.0,17.8,51.3,0.0,1.8,93,9.8,0.0,흐림/비
2025년05월17일 (토),18.3,24.3,14.7,2.2,0.0,2.7,86,6.4,6.0,구름많음/비/안개/이슬비
2025년05월18일 (일),15.6,21.0,11.4,-,0.0,2.7,59,3.0,10.5,구름조금
2025년05월19일 (월),16.1,20.9,10.5,1.6,0.0,2.8,70,7.9,0.9,구름많음/이슬비
2025년05월20일 (화),22.2,27.3,17.4,1.0,0.0,2.5,86,7.5,3.0,구름많음/비/안개/이슬비
2025년05월21일 (수),25.5,30.8,22.3,-,0.0,2.0,76,6.5,7.0,구름많음
2025년05월22일 (목),23.9,28.5,20.0,0.8,0.0,2.2,68,5.6,6.1,구름많음/비/이슬비
2025년05월23일 (금),19.4,22.2,15.4,1.2,0.0,2.8,54,9.4,0.0,흐림/비
2025년05월24일 (토),15.6,19.3,13.0,4.3,0.0,3.2,69,8.1,0.3,구름많음/비
2025년05월25일 (일),17.4,22.6,11.7,-,0.0,2.2,61,0.0,13.1,맑음
2025년05월26일 (월),19.7,26.2,13.0,-,0.0,1.7,59,4.9,12.3,구름조금/안개
2025년05월27일 (화),20.8,27.0,14.7,-,0.0,1.9,57,1.0,12.3,맑음/안개
2025년05월28일 (수),20.8,26.9,16.3,0.0,0.0,1.9,62,3.4,8.4,구름조금/비/안개
2025년05월29일 (목),21.2,27.3,15.3,-,0.0,2.4,58,2.0,11.7,맑음/천둥번개
2025년05월30일 (금),22.2,28.3,16.7,-,0.0,1.8,55,0.5,12.1,맑음
2025년05월31일 (토),21.5,27.0,16.4,-,0.0,2.0,55,6.1,7.3,구름많음/안개
2025년06월01일 (일),22.6,29.3,17.0,-,0.0,2.1,58,3.5,10.9,구름조금/안개
2025년06월02일 (월),21.0,23.1,19.2,0.0,0.0,1.4,64,9.8,0.0,흐림/비/안개
2025년06월03일 (화),20.9,25.3,17.0,-,0.0,2.8,57,1.6,11.9,맑음/안개
2025년06월04일 (수),20.4,25.3,15.2,-,0.0,3.5,55,0.4,12.1,맑음
2025년06월05일 (목),21.7,27.1,15.6,-,0.0,2.3,50,3.1,12.5,구름조금
2025년06월06일 (금),24.1,30.0,17.7,-,0.0,3.3,43,3.5,12.0,구름조금
2025년06월07일 (토),23.7,28.2,19.8,0.1,0.0,2.6,61,6.8,4.6,구름많음/비
2025년06월08일 (일),25.1,30.4,21.4,0.6,0.0,1.8,69,6.8,7.4,구름많음/비
2025년06월09일 (월),24.2,30.2,20.6,0.0,0.0,2.6,67,6.2,9.6,구름많음/비/안개
2025년06월10일 (화),21.7,25.3,18.8,0.0,0.0,2.6,72,7.5,4.1,구름많음/비
2025년06월11일 (수),22.7,28.5,15.9,-,0.0,2.4,55,2.2,13.5,맑음
2025년06월12일 (목),25.5,33.1,17.9,-,0.0,1.9,50,4.4,12.4,구름조금
2025년06월13일 (금),24.0,29.4,20.1,1.5,0.0,1.9,61,8.8,3.8,흐림/비
2025년06월14일 (토),25.6,32.1,20.3,-,0.0,1.9,66,4.8,5.9,구름조금
2025년06월15일 (일),26.3,33.2,21.7,11.8,0.0,2.6,70,7.9,7.8,구름많음/비
2025년06월16일 (월),23.0,25.1,21.8,20.0,0.0,2.8,88,9.2,0.1,흐림/비/안개/이슬비
2025년06월17일 (화),24.8,29.6,21.1,-,0.0,2.4,73,3.8,8.6,구름조금
2025년06월18일 (수),25.5,30.9,21.2,-,0.0,2.0,65,3.0,10.3,구름조금/안개
2025년06월19일 (목),28.1,34.2,21.1,0.8,0.0,2.1,58,5.8,8.8,구름많음/비
2025년06월20일 (금),24.1,28.3,22.2,51.1,0.0,4.0,93,10.0,0.0,흐림/비/천둥번개
2025년06월21일 (토),22.0,24.2,20.5,0.2,0.0,2.2,88,9.8,0.0,흐림/비/안개/이슬비
2025년06월22일 (일),23.3,28.6,18.1,-,0.0,2.2,69,0.2,13.4,맑음/안개
2025년06월23일 (월),26.1,31.7,19.4,-,0.0,1.9,65,1.2,12.8,맑음
2025년06월24일 (화),25.0,28.0,20.5,2.3,0.0,2.6,63,8.9,0.2,흐림/비
2025년06월25일 (수),20.9,22.1,19.5,8.0,0.0,2.5,89,10.0,0.0,흐림/비/안개
2025년06월26일 (목),22.2,24.2,19.9,1.1,0.0,1.6,85,8.4,0.1,구름많음/비/안개/이슬비
2025년06월27일 (금),25.0,29.3,21.1,0.0,0.0,1.3,78,8.6,3.1,흐림/비/안개
2025년06월28일 (토),26.2,28.1,24.5,0.6,0.0,1.3,85,9.2,0.0,흐림/비/안개
2025년06월29일 (일),27.1,30.2,24.9,0.0,0.0,2.4,77,6.1,2.5,구름많음/비/안개/이슬비
2025년06월30일 (월),28.2,31.2,25.6,-,0.0,2.4,75,7.8,2.8,구름많음
2025년07월01일 (화),28.6,31.8,26.2,0.9,0.0,3.0,79,7.0,3.8,구름많음/비
2025년07월02일 (수),28.6,30.9,26.8,0.0,0.0,3.1,76,8.0,2.3,구름많음/비
2025년07월03일 (목),28.2,32.0,26.5,0.0,0.0,2.8,76,7.5,2.7,구름많음/비
2025년07월04일 (금),27.2,30.0,25.7,0.0,0.0,3.2,77,8.8,0.8,흐림/비
2025년07월05일 (토),28.4,32.3,26.0,-,0.0,2.7,73,8.1,3.0,구름많음
2025년07월06일 (일),29.1,32.8,26.3,-,0.0,2.4,74,8.8,1.7,흐림
2025년07월07일 (월),29.1,33.2,26.7,-,0.0,1.9,79,5.8,2.5,구름많음/안개
2025년07월08일 (화),31.3,37.8,26.9,11.8,0.0,2.0,73,4.2,8.4,구름조금/비/소나기/안개/천둥번개
2025년07월09일 (수),31.9,36.0,27.4,-,0.0,2.1,61,3.4,8.0,구름조금
2025년07월10일 (목),31.4,36.2,27.3,-,0.0,3.0,47,0.4,13.3,맑음
2025년07월11일 (금),30.1,36.1,24.6,-,0.0,3.4,47,0.1,13.5,맑음
2025년07월12일 (토),30.3,36.5,24.4,-,0.0,2.4,48,2.6,13.2,구름조금
2025년07월13일 (일),27.7,31.0,25.6,0.0,0.0,1.5,67,9.0,1.7,흐림/비
2025년07월14일 (월),24.2,28.1,21.7,13.6,0.0,2.1,78,8.4,0.5,구름많음/비
2025년07월15일 (화),23.6,25.9,21.5,4.0,0.0,2.4,84,9.2,0.6,흐림/비/소나기
2025년07월16일 (수),23.3,24.8,22.2,73.1,0.0,2.2,90,9.6,0.0,흐림/비/천둥번개
2025년07월17일 (목),23.3,24.4,22.0,75.5,0.0,2.1,94,10.0,0.0,흐림/비/천둥번개
2025년07월18일 (금),24.7,27.2,22.9,16.1,0.0,1.7,90,9.5,0.3,흐림/비
2025년07월19일 (토),23.9,25.8,21.9,84.0,0.0,1.9,95,10.0,0.0,흐림/비/이슬비/천둥번개
2025년07월20일 (일),27.7,31.3,25.0,14.8,0.0,2.7,83,7.1,5.7,구름많음/비
2025년07월21일 (월),28.5,31.6,25.6,0.0,0.0,2.2,77,5.6,5.8,구름많음/비/소나기
2025년07월22일 (화),28.8,32.2,26.6,0.1,0.0,2.7,76,6.4,6.6,구름많음/소나기
2025년07월23일 (수),28.9,33.3,25.5,-,0.0,1.9,70,6.4,7.9,구름많음
2025년07월24일 (목),29.8,34.1,25.8,-,0.0,2.0,68,5.1,9.2,구름조금
2025년07월25일 (금),31.1,36.3,25.6,-,0.0,1.9,65,1.0,12.4,맑음
2025년07월26일 (토),32.3,37.1,27.6,-,0.0,1.8,62,2.9,11.0,구름조금
2025년07월27일 (일),32.8,38.0,28.3,-,0.0,2.0,62,0.6,12.5,맑음
2025년07월28일 (월),32.2,36.4,28.8,-,0.0,2.0,67,1.6,11.9,맑음/비
2025년07월29일 (화),32.0,36.7,27.6,-,0.0,2.1,64,2.9,8.9,구름조금
2025년07월30일 (수),32.1,36.3,28.3,-,0.0,1.7,63,7.2,5.6,구름많음
2025년07월31일 (목),30.9,34.6,29.3,-,0.0,1.9,62,8.9,1.1,흐림
2025년08월01일 (금),31.0,35.1,27.8,0.0,0.0,1.8,67,8.4,4.5,구름많음/비
2025년08월02일 (토),31.2,36.2,27.3,-,0.0,1.8,62,5.4,8.7,구름조금
2025년08월03일 (일),28.8,32.5,24.0,1.3,0.0,2.0,69,9.0,0.2,흐림/비
2025년08월04일 (월),28.1,33.9,23.7,1.9,0.0,2.2,76,7.1,3.9,구름많음/비
2025년08월05일 (화),29.1,33.5,25.4,-,0.0,2.2,67,4.4,8.5,구름조금
2025년08월06일 (수),27.1,29.3,25.8,22.0,0.0,3.2,89,9.0,1.1,흐림/비
2025년08월07일 (목),28.2,32.3,25.4,-,0.0,2.8,71,4.0,10.2,구름조금
2025년08월08일 (금),26.6,30.2,23.9,6.3,0.0,1.7,75,6.2,1.7,구름많음/소나기
2025년08월09일 (토),24.9,26.4,23.1,3.5,0.0,1.5,82,7.4,0.3,구름많음/비
2025년08월10일 (일),27.3,33.2,21.0,-,0.0,1.7,70,1.5,12.3,맑음
2025년08월11일 (월),27.0,29.5,25.0,0.0,0.0,1.9,74,7.2,0.3,구름많음/소나기
2025년08월12일 (화),28.6,34.1,23.3,-,0.0,2.2,63,3.8,12.0,구름조금/안개
2025년08월13일 (수),25.1,27.1,22.0,126.7,0.0,2.6,92,9.6,0.0,흐림/비/천둥번개
2025년08월14일 (목),25.5,26.9,24.2,47.8,0.0,2.2,91,9.2,0.0,흐림/비
2025년08월15일 (금),27.1,30.9,24.4,0.0,0.0,1.8,84,4.6,4.9,구름조금/비/소나기/안개/천둥번개
2025년08월16일 (토),28.2,32.2,25.5,-,0.0,2.3,76,5.4,6.9,구름조금
2025년08월17일 (일),28.4,32.0,26.1,-,0.0,2.2,76,8.1,1.8,구름많음
2025년08월18일 (월),28.9,32.9,27.0,2.2,0.0,3.0,76,8.1,5.4,구름많음/비
2025년08월19일 (화),29.1,32.3,26.9,-,0.0,3.2,75,6.1,6.2,구름많음
2025년08월20일 (수),29.4,32.8,26.9,0.0,0.0,2.6,75,7.8,5.2,구름많음/소나기
2025년08월21일 (목),29.8,34.3,27.4,-,0.0,2.3,71,5.8,7.5,구름많음/비
2025년08월22일 (금),29.4,33.5,26.1,-,0.0,2.1,72,1.9,9.5,맑음
2025년08월23일 (토),29.3,32.2,27.4,-,0.0,1.8,75,4.2,3.6,구름조금
2025년08월24일 (일),30.2,34.7,26.9,-,0.0,1.7,69,3.2,6.3,구름조금
2025년08월25일 (월),28.7,32.2,26.3,17.1,0.0,2.7,81,7.1,2.0,구름많음/비/소나기/천둥번개
2025년08월26일 (화),27.6,31.8,25.5,5.4,0.0,2.8,82,6.0,5.6,구름많음/비/이슬비/천둥번개
2025년08월27일 (수),26.7,30.8,23.6,-,0.0,1.6,74,6.5,2.6,구름많음/비
2025년08월28일 (목),28.3,31.0,24.7,-,0.0,2.6,73,8.1,3.0,구름많음
2025년08월29일 (금),29.0,32.8,27.3,32.2,0.0,3.4,82,7.6,4.3,구름많음/비/소나기/천둥번개
2025년08월30일 (토),28.4,31.8,25.8,23.9,0.0,1.9,81,5.2,5.8,구름조금/비/소나기/천둥번개
2025년08월31일 (일),28.5,31.8,25.1,0.0,0.0,2.4,75,5.5,5.9,구름많음/비
2025년09월01일 (월),26.1,28.2,24.4,20.4,0.0,2.5,87,9.0,0.6,흐림/비/천둥번개
2025년09월02일 (화),25.9,30.6,22.0,-,0.0,1.5,75,3.0,9.1,구름조금
2025년09월03일 (수),27.6,32.1,22.6,-,0.0,2.0,68,5.2,9.5,구름조금
2025년09월04일 (목),25.8,29.8,22.8,44.2,0.0,2.6,82,6.5,3.1,구름많음/비
2025년09월05일 (금),27.9,33.0,23.5,-,0.0,2.3,69,4.2,7.9,구름조금
2025년09월06일 (토),26.8,30.4,25.4,36.1,0.0,2.6,87,8.2,1.2,구름많음/비/천둥번개
2025년09월07일 (일),25.3,28.3,22.3,0.2,0.0,2.1,78,7.1,1.7,구름많음/비
2025년09월08일 (월),24.4,29.5,20.6,0.0,0.0,1.9,73,8.0,3.9,구름많음
2025년09월09일 (화),23.7,26.9,21.4,0.0,0.0,1.7,72,7.2,1.0,구름많음/비
2025년09월10일 (수),24.8,31.5,18.4,-,0.0,1.8,61,0.0,11.9,맑음
2025년09월11일 (목),25.8,31.7,19.9,-,0.0,2.6,58,2.8,11.8,구름조금
2025년09월12일 (금),23.9,26.3,21.1,6.8,0.0,2.8,69,9.5,0.3,흐림/비
2025년09월13일 (토),23.3,27.6,20.4,63.7,0.0,2.0,81,8.9,0.0,흐림/비
2025년09월14일 (일),24.8,29.3,21.5,-,0.0,1.6,72,6.0,5.7,구름많음
2025년09월15일 (월),25.7,30.7,20.8,-,0.0,1.5,72,4.2,9.4,구름조금
2025년09월16일 (화),23.7,27.1,22.2,17.5,0.0,1.6,87,7.5,0.7,구름많음/비/안개/천둥번개
2025년09월17일 (수),22.7,24.0,21.2,52.7,0.0,1.8,92,8.5,0.4,흐림/비/안개/천둥번개
2025년09월18일 (목),22.1,26.0,19.6,-,0.0,2.7,74,6.6,6.1,구름많음
2025년09월19일 (금),19.4,21.4,17.9,13.8,0.0,2.9,82,9.9,0.0,흐림/비
2025년09월20일 (토),20.0,23.6,17.5,35.3,0.0,1.7,85,8.9,1.2,흐림/비/이슬비
2025년09월21일 (일),21.6,27.3,17.2,-,0.0,2.1,67,4.1,10.2,구름조금
2025년09월22일 (월),21.3,25.1,17.6,-,0.0,2.4,60,8.8,4.3,흐림
2025년09월23일 (화),22.7,26.8,19.2,0.0,0.0,2.5,57,8.1,5.2,구름많음/비
2025년09월24일 (수),22.0,23.7,20.4,35.2,0.0,2.1,82,8.2,0.1,구름많음/비/이슬비
2025년09월25일 (목),22.5,26.4,20.2,0.3,0.0,1.4,80,6.1,5.5,구름많음/비/안개
2025년09월26일 (금),21.7,27.1,17.8,-,0.0,1.3,78,3.0,8.1,구름조금/안개
2025년09월27일 (토),22.5,27.2,17.6,-,0.0,1.9,71,4.0,8.3,구름조금
2025년09월28일 (일),20.0,21.9,18.4,44.5,0.0,1.5,86,9.1,0.9,흐림/비
2025년09월29일 (월),19.6,23.9,16.6,-,0.0,1.6,78,4.0,4.9,구름조금/안개
